iter	Passed	Remaining
0	156	156706
1	172	86087
2	187	62340
3	202	50433
4	218	43418
5	234	38793
6	249	35336
7	264	32839
8	280	30857
9	295	29269
10	310	27948
11	326	26890
12	341	25919
13	356	25082
14	370	24338
15	385	23700
16	400	23183
17	416	22723
18	432	22337
19	447	21924
20	463	21619
21	478	21286
22	494	20999
23	510	20742
24	525	20477
25	540	20243
26	553	19957
27	569	19772
28	585	19601
29	601	19432
30	615	19241
31	630	19072
32	646	18932
33	661	18797
34	676	18640
35	691	18506
36	706	18377
37	722	18288
38	737	18169
39	753	18073
40	768	17981
41	783	17875
42	798	17776
43	814	17693
44	830	17622
45	846	17557
46	861	17466
47	877	17397
48	893	17336
49	908	17258
50	924	17207
51	940	17149
52	955	17072
53	970	16999
54	986	16950
55	1002	16899
56	1017	16835
57	1032	16770
58	1048	16723
59	1064	16675
60	1080	16628
61	1095	16581
62	1111	16528
63	1126	16480
64	1142	16436
65	1158	16387
66	1173	16341
67	1188	16292
68	1204	16250
69	1219	16199
70	1234	16152
71	1250	16112
72	1265	16072
73	1280	16026
74	1295	15976
75	1311	15939
76	1326	15902
77	1342	15863
78	1357	15829
79	1373	15799
80	1388	15757
81	1404	15722
82	1419	15683
83	1435	15651
84	1450	15619
85	1466	15588
86	1482	15558
87	1498	15527
88	1515	15517
89	1530	15479
90	1546	15450
91	1561	15415
92	1577	15387
93	1593	15359
94	1609	15328
95	1613	15195
96	1629	15168
97	1644	15134
98	1658	15098
99	1673	15065
100	1688	15033
101	1704	15005
102	1720	14983
103	1736	14957
104	1752	14934
105	1767	14908
106	1783	14883
107	1798	14853
108	1813	14823
109	1829	14799
110	1845	14777
111	1860	14750
112	1875	14725
113	1892	14706
114	1907	14676
115	1923	14656
116	1938	14633
117	1954	14611
118	1969	14583
119	1985	14561
120	2000	14535
121	2016	14513
122	2032	14490
123	2047	14467
124	2063	14444
125	2080	14429
126	2096	14407
127	2111	14386
128	2127	14367
129	2143	14345
130	2158	14318
131	2173	14292
132	2188	14266
133	2204	14246
134	2219	14222
135	2234	14196
136	2250	14173
137	2264	14146
138	2280	14125
139	2296	14106
140	2312	14086
141	2327	14066
142	2342	14040
143	2358	14017
144	2373	13997
145	2381	13929
146	2396	13904
147	2411	13885
148	2427	13865
149	2442	13841
150	2457	13819
151	2473	13798
152	2489	13779
153	2504	13759
154	2520	13740
155	2536	13721
156	2551	13699
157	2566	13679
158	2582	13661
159	2598	13642
160	2614	13622
161	2629	13603
162	2644	13581
163	2660	13563
164	2675	13540
